400
x1,x2,class
Continuo,Continuo,Nominal
1.571862,2.095209,+
1.460869,1.595395,+
2.448867,2.071296,+
3.022644,2.323824,+
3.092210,2.068235,+
1.122795,2.030847,+
0.404007,1.685510,+
1.978041,2.089510,+
2.038219,1.957819,+
2.939055,2.382774,+
1.812840,1.934492,+
2.471394,1.933241,+
0.507763,1.794799,+
1.721017,1.857160,+
2.305508,2.240434,+
0.483541,1.540427,+
1.072660,1.807490,+
0.537414,1.356194,+
2.314418,2.080293,+
2.957941,2.170443,+
0.892062,1.737347,+
2.141669,1.923390,+
0.410984,1.162081,+
1.239445,1.813002,+
2.423725,1.813037,+
2.980670,2.592116,+
2.011341,1.877587,+
2.301571,2.493999,+
-0.484352,0.935316,+
3.335407,2.272915,+
1.139817,1.531762,+
2.098729,2.086691,+
3.292376,2.285296,+
2.776561,2.514453,+
0.789161,1.398008,+
2.134990,1.798280,+
0.314336,1.397172,+
1.000711,1.641182,+
-0.427812,1.058746,+
1.294948,1.875691,+
2.310984,2.091338,+
2.608359,2.196569,+
0.989276,1.694143,+
1.597407,1.923708,+
1.394008,1.888518,+
1.001752,1.435671,+
2.822357,2.192482,+
3.165952,2.345623,+
2.577380,2.400987,+
1.867672,2.070921,+
2.978930,2.427046,+
2.340333,2.184076,+
3.711997,2.682726,+
1.715122,1.992332,+
3.213124,2.106416,+
2.742522,2.165195,+
3.268094,2.528579,+
-0.825915,1.381523,+
2.110986,2.131030,+
1.974515,2.098185,+
1.304526,1.592979,+
0.587004,1.427648,+
2.414082,2.197503,+
3.014228,2.243926,+
2.572495,2.108229,+
0.179615,1.464118,+
-0.951143,1.008075,+
1.222342,2.148924,+
1.120794,1.999147,+
0.696068,1.641646,+
1.940115,2.067016,+
3.085482,2.149463,+
0.882134,1.385658,+
2.619975,2.252432,+
1.954451,1.726436,+
3.623370,2.565178,+
-0.043636,1.556417,+
2.382639,1.968796,+
5.381016,2.963705,+
1.940539,2.276229,+
2.536821,2.312136,+
0.321535,1.213841,+
-0.234428,1.378087,+
1.280734,1.703352,+
2.427959,2.418899,+
2.373649,2.234194,+
2.930730,2.519025,+
-1.344603,0.548631,+
1.888242,2.215591,+
3.261423,2.438779,+
0.418658,1.491052,+
2.177080,2.018907,+
3.843141,2.460291,+
1.754785,1.567765,+
4.293074,2.832317,+
0.935947,1.724234,+
2.531244,2.319806,+
0.392323,1.524200,+
1.696049,1.697737,+
1.916129,2.104663,+
2.654254,2.319674,+
2.064187,1.814114,+
2.827341,2.228523,+
2.087618,2.190907,+
4.191994,2.838610,+
0.994964,1.597791,+
2.582068,2.242413,+
3.014532,2.386748,+
1.259188,1.580115,+
2.902726,2.653544,+
1.936082,1.910960,+
1.734274,1.838204,+
2.651157,2.171250,+
2.051200,2.211882,+
2.962477,2.156831,+
1.804867,1.688005,+
2.168220,2.234230,+
3.407242,2.725291,+
3.523014,2.467721,+
2.503900,2.189812,+
0.366382,1.110762,+
2.989022,2.391987,+
2.022730,1.663225,+
3.306691,2.294304,+
2.313834,2.106699,+
1.371040,1.890784,+
2.146579,2.090865,+
0.966874,1.897833,+
0.652230,1.320036,+
-0.865309,0.843097,+
1.086481,1.724052,+
2.820906,2.166992,+
2.560730,2.200934,+
2.594831,2.383333,+
2.946481,2.259296,+
2.972791,2.279983,+
2.872518,2.286549,+
1.560297,1.758861,+
0.556172,1.488184,+
2.119974,2.119366,+
1.643417,1.908535,+
3.419937,2.452624,+
2.008585,2.040807,+
2.267129,2.322494,+
3.871350,2.659842,+
0.779875,1.535288,+
1.735817,1.974329,+
0.777117,1.506869,+
1.475798,1.765146,+
-0.463726,1.524550,+
0.505721,1.460260,+
2.186216,1.757322,+
2.992641,2.480508,+
1.508524,1.767164,+
3.026906,2.605119,+
2.947332,2.248609,+
3.398800,2.429909,+
3.021284,2.201201,+
0.323928,1.301147,+
2.682129,2.083195,+
3.374582,2.501746,+
1.976041,1.532862,+
1.105069,1.791930,+
0.116098,1.517847,+
2.531532,2.090677,+
3.067482,2.074237,+
3.887951,2.555837,+
-0.643406,1.254712,+
2.312129,2.351298,+
2.486526,2.295577,+
1.531152,1.778951,+
2.549610,2.144087,+
3.103648,2.289849,+
1.319852,2.236551,+
2.382100,1.987916,+
3.182448,2.429214,+
2.637056,1.965831,+
2.430484,2.026157,+
2.145764,2.088545,+
1.442380,1.924287,+
0.403700,1.471672,+
2.159711,2.393415,+
2.133041,2.166265,+
1.265251,1.678739,+
5.083242,3.307215,+
1.895566,2.126010,+
2.766678,2.202996,+
-0.298078,1.321213,+
3.767719,2.362301,+
3.333060,2.431085,+
1.737198,1.997621,+
-0.395694,1.390400,+
3.438701,2.233627,+
1.614628,1.915805,+
2.746344,2.171767,+
1.670918,1.727001,+
0.037708,1.308012,+
2.573583,2.214959,+
0.625269,1.595436,+
1.094186,1.895864,+
-0.061456,2.552323,-
2.599541,1.849239,-
1.827551,1.943592,-
0.573688,2.531475,-
3.444572,1.197305,-
0.463997,2.648527,-
2.911086,1.607400,-
1.303835,2.185050,-
1.564477,2.132422,-
1.131290,2.269222,-
1.847402,2.202840,-
2.883130,1.922523,-
2.709877,1.776858,-
4.281160,1.251161,-
0.081675,2.837304,-
1.414238,2.310746,-
0.106442,2.742392,-
1.612740,2.246670,-
2.111952,1.948959,-
0.418053,2.597877,-
2.016625,1.772775,-
2.702125,1.639633,-
2.470616,1.882868,-
0.215146,2.733656,-
1.136644,2.346307,-
1.832682,1.775574,-
2.288751,1.754996,-
3.196875,1.596429,-
4.936815,0.956474,-
0.694848,2.463798,-
-0.370154,2.407281,-
0.167490,2.710368,-
1.063026,2.264267,-
2.308559,1.920619,-
4.228643,1.398864,-
0.706900,2.759086,-
2.537178,1.833613,-
2.869856,1.940452,-
0.103587,2.365416,-
3.816754,1.433078,-
2.611736,2.094343,-
0.134473,2.671146,-
4.255833,0.886568,-
3.459543,1.243551,-
2.128652,2.089090,-
2.238057,2.376503,-
1.813177,1.997896,-
1.871262,1.975224,-
0.515914,2.538908,-
1.741719,2.295690,-
2.352856,1.835105,-
2.105429,1.818955,-
1.505301,1.724074,-
1.791507,2.016538,-
0.053403,2.192794,-
1.284972,2.370652,-
4.311156,1.149601,-
0.676127,2.610383,-
-0.180631,2.713013,-
1.999063,2.085836,-
2.450932,1.829140,-
2.226865,1.456089,-
3.274636,1.424191,-
0.251854,2.672183,-
3.546599,1.369188,-
1.702582,2.035495,-
2.100730,2.206569,-
0.912791,2.641549,-
1.395403,2.252030,-
1.726981,1.986091,-
2.976312,1.469709,-
1.482647,2.125050,-
1.983337,2.157285,-
2.222489,1.964466,-
2.163618,2.104658,-
1.464391,2.206973,-
1.307337,1.818065,-
3.223422,1.478034,-
1.130550,1.961334,-
0.770411,2.773929,-
1.990719,1.857134,-
3.824817,1.217742,-
5.252198,0.883261,-
0.164344,2.985506,-
1.382768,2.320406,-
2.730024,1.926378,-
2.609525,1.820229,-
1.927449,2.070120,-
2.937212,1.793038,-
2.443883,1.657532,-
1.462839,2.250535,-
3.230343,1.479507,-
1.331776,2.218475,-
2.973305,1.715627,-
1.844496,2.279388,-
2.306940,1.932123,-
2.520889,1.947502,-
2.901648,2.028723,-
1.356349,1.893431,-
1.786032,2.021567,-
0.567210,2.550911,-
1.924940,1.909411,-
1.073811,2.231755,-
2.464189,1.694819,-
3.598614,1.322219,-
0.414128,2.993273,-
2.524336,1.881682,-
2.880314,1.622694,-
2.476928,1.622715,-
2.160267,1.558193,-
3.324070,1.456342,-
0.895199,2.613986,-
3.667967,1.610367,-
2.285571,1.954934,-
2.899038,1.784436,-
2.973451,1.614648,-
2.703541,1.949148,-
0.392350,2.518614,-
1.349877,2.041990,-
2.395516,1.893823,-
4.321572,1.279238,-
3.587160,1.502607,-
4.628414,1.241432,-
4.565123,1.179644,-
2.365750,1.917788,-
0.875179,2.356631,-
2.107995,1.889846,-
2.327249,2.104687,-
3.702986,1.776622,-
-0.615222,2.727558,-
1.687696,2.219666,-
0.933451,2.198882,-
2.978706,1.852820,-
2.104472,1.970836,-
2.869574,2.030258,-
1.153141,2.182182,-
0.355957,2.566829,-
2.490137,1.672226,-
3.104970,1.635951,-
3.151946,1.886141,-
0.658723,2.703297,-
1.978065,1.853650,-
1.344869,2.498955,-
2.246535,1.944393,-
3.650214,1.387228,-
2.860370,1.613958,-
2.649701,1.928460,-
2.258744,2.079743,-
2.260883,1.946742,-
2.019842,1.917141,-
3.529059,1.620259,-
2.575483,1.643262,-
2.642249,1.807637,-
3.401015,1.630694,-
1.301919,2.142854,-
1.609395,2.280932,-
2.193134,1.583269,-
2.493655,1.556003,-
3.521690,1.373459,-
0.734147,2.322340,-
0.315546,2.575109,-
0.627078,2.307299,-
2.005459,1.573970,-
2.045526,2.122331,-
2.117024,1.715633,-
2.054928,1.913191,-
3.181244,1.718886,-
2.190057,1.802700,-
1.486417,2.109533,-
-1.312477,3.220988,-
3.161908,1.786203,-
2.049617,2.097707,-
0.621417,2.226680,-
0.812173,2.559650,-
3.577021,1.580335,-
0.819244,2.432037,-
2.553229,1.846148,-
0.174123,2.386634,-
1.420949,2.683765,-
2.509953,1.707825,-
2.274275,2.018776,-
2.227725,1.701073,-
1.824516,1.986244,-
-0.719516,2.634575,-
0.207283,2.922290,-
1.803261,2.239705,-
0.986079,2.310366,-
2.118084,2.046930,-
4.754875,1.099034,-
0.484470,2.799168,-
2.528949,1.998007,-
1.334509,2.043424,-
2.300899,2.097150,-
0.658008,2.537761,-
0.147469,2.608824,-
1.117443,2.202648,-
3.234191,1.442724,-
3.228857,1.833079,-
1.097001,2.149341,-
0.729632,2.370817,-
