400
x1,x2,Class
Continuo,Continuo,Nominal
-2.145041,-7.708284,-
6.560035,7.920449,-
8.613048,6.983672,-
0.929621,-3.847953,+
9.795841,7.153157,-
-4.326686,-4.094327,-
-5.405334,-9.131876,-
-0.856055,0.281320,+
5.011165,-6.564723,+
-6.710543,-8.125433,-
4.671160,6.634752,-
-9.217275,-0.830336,-
-8.220424,4.697101,+
0.792249,-3.763636,+
7.357287,4.746051,-
5.028748,-5.540929,+
-3.216877,1.767946,+
-2.669211,1.301226,+
3.627707,9.608389,-
9.038862,5.913326,-
0.394361,-1.699619,+
6.797061,3.100037,-
-3.070425,6.621557,+
-9.798191,3.501738,+
-3.966911,-4.282094,-
4.911208,-8.924490,+
7.527897,7.775169,-
9.412715,1.101319,-
7.842585,-0.683872,+
-2.414422,-4.469673,-
-0.744704,5.142133,+
-1.127069,8.492365,+
-9.650350,4.797335,+
3.051792,1.687743,-
-6.224696,-5.337106,-
5.327377,-3.762105,+
3.200380,-1.675425,+
1.716659,-7.690892,+
7.942805,-3.368872,+
5.891548,-8.456247,+
9.766516,5.118093,-
9.595445,3.910072,-
-3.286905,-1.440163,-
3.983273,8.491756,-
5.026877,-5.658726,+
-5.990516,7.530133,+
-6.618784,-0.755050,-
1.425825,9.143885,-
9.372415,-7.335452,+
-1.291658,-6.985149,-
9.700403,1.721968,-
-5.773739,5.734282,+
-4.580195,-7.137174,-
2.921714,-4.516037,+
-9.705446,-6.748756,-
-2.299334,3.686871,+
-8.512995,-0.295392,-
8.678509,8.896576,-
-9.755569,-9.242175,-
-9.626988,-3.632614,-
2.398933,-0.127977,+
4.480399,7.131722,-
-2.100881,5.988009,+
-2.113126,4.942009,+
1.724985,0.660635,-
-5.930509,0.687112,+
1.720675,-6.270783,+
6.109709,3.144897,-
-3.283834,-8.418349,-
-6.338894,-7.423006,-
2.513404,4.134118,-
8.575505,-0.528856,+
-7.167590,-6.984789,-
-4.345761,7.491696,+
8.600359,9.940747,-
-7.695640,-1.750427,-
-3.256630,0.805612,+
6.163606,-3.170582,+
-8.878170,9.500843,+
0.843886,7.434019,-
-1.144980,5.845213,+
-0.395093,-6.871808,-
6.495773,4.842015,-
1.434143,4.636778,-
1.938269,-4.911673,+
-6.646277,-1.057954,-
-0.525386,2.893098,+
-5.597277,-9.196308,-
-2.225701,6.551792,+
-9.087314,-7.301548,-
0.506558,9.113473,-
1.304167,-7.175104,+
-5.339407,-3.987374,-
-5.499690,-6.314053,-
9.318455,-5.228544,+
4.438742,-5.753043,+
0.180153,0.245240,-
2.380687,4.200261,-
-6.493219,2.944762,+
-0.336794,-2.157173,-
1.810366,2.528556,-
8.447380,8.733247,-
-6.149155,-2.577739,-
-3.898094,-5.463361,-
-0.854486,-8.097603,-
-0.393395,2.178209,+
-9.983385,-0.648416,-
-3.714131,-2.407474,-
7.456327,1.540509,-
-8.994162,8.025816,+
1.083211,6.686190,-
-4.388148,-9.869510,-
5.747749,8.176266,-
3.745101,-6.459585,+
5.242068,-0.275345,+
9.227917,-0.617469,+
7.902868,2.368642,-
-1.030251,5.523927,+
-9.063196,7.746498,+
7.561617,-7.024085,+
9.837510,-4.060243,+
8.102877,2.062982,-
-3.029810,-2.933053,-
-2.177962,6.680165,+
-2.743999,-7.872590,-
3.609859,1.646324,-
-2.318342,6.369291,+
1.528524,3.739169,-
8.176786,9.479436,-
-8.230268,-1.660512,-
2.934847,-9.113737,+
-7.717039,8.937634,+
-5.168710,8.039336,+
-7.630192,-0.282903,-
5.040004,8.550567,-
0.564157,7.336693,-
-4.245697,3.240937,+
1.714297,-2.432634,+
2.326589,8.979271,-
-4.973612,-1.029968,-
-6.205590,-7.104083,-
6.976579,7.644936,-
3.931449,-7.945868,+
0.850406,-5.245816,+
-5.238128,-0.115731,-
0.356229,6.806182,-
3.370760,-1.685828,+
4.400819,-3.988537,+
-1.058180,6.482760,+
4.843666,-7.508395,+
8.363254,-2.850316,+
-6.016731,3.551397,+
-8.756132,3.747956,+
8.684098,8.628531,-
7.903592,2.116302,-
8.506451,-8.903280,+
5.954045,5.832844,-
-4.243464,-2.868721,-
8.247821,7.878154,-
-9.790555,-4.443403,-
-7.134596,-5.301503,-
-5.754715,-1.273245,-
8.079375,-9.665880,+
3.214424,-7.210675,+
-2.078177,-5.786579,-
9.507937,3.945778,-
8.230383,-9.190102,+
9.440003,-3.980532,+
5.286208,-5.054815,+
3.257152,-8.900234,+
-6.994358,7.239647,+
-6.528283,-4.347846,-
-6.256787,1.775861,+
-6.092516,-9.812948,-
6.111009,4.111636,-
-5.775777,2.339957,+
-8.396617,5.990749,+
4.587209,-4.318425,+
7.998339,-3.491834,+
-8.291957,-7.722384,-
-3.956861,2.241881,+
3.493720,-1.884141,+
2.290259,-5.043647,+
-1.487327,-6.724318,-
-8.627612,-2.175585,-
-4.203236,-1.881029,-
8.240142,-9.333204,+
3.827929,-4.492323,+
7.180119,-7.033636,+
-1.933220,6.695785,+
5.738096,9.254443,-
-0.221347,-3.429030,-
8.089037,6.302557,-
-1.428433,4.032351,+
5.665639,5.252163,-
-9.137634,-1.171520,-
-5.986965,-8.610139,-
-2.049143,-1.761607,-
-7.567701,-7.088817,-
-2.447164,8.766663,+
-0.533268,-5.731280,-
-3.946398,9.454729,+
1.002507,-9.472891,+
1.953031,-9.889513,+
