400
x1,x2,class
Nominal,Nominal,Nominal
+,+,-
-,-,-
-,+,+
+,-,+
+,+,-
+,+,-
-,+,+
+,-,+
-,+,+
+,+,-
-,-,-
-,-,-
+,+,-
-,+,+
-,+,+
+,+,-
-,+,+
+,-,+
-,-,-
+,-,+
-,+,+
+,-,+
-,+,+
-,-,-
+,+,-
-,+,+
-,+,+
+,+,-
-,-,-
-,-,-
+,-,+
-,+,+
+,-,+
-,-,-
+,-,+
-,-,-
-,+,+
+,+,-
-,-,-
-,-,-
-,-,-
-,+,+
+,+,-
+,-,+
+,-,+
-,+,+
-,+,+
-,+,+
+,+,-
-,-,-
-,-,-
+,-,+
-,+,+
+,+,-
-,-,-
-,-,-
+,-,+
+,-,+
+,+,-
-,-,-
-,-,-
-,-,-
+,+,-
-,-,-
+,-,+
+,-,+
-,-,-
+,-,+
-,-,-
-,+,+
-,+,+
-,+,+
-,-,-
-,+,+
+,-,+
-,+,+
+,+,-
+,+,-
+,-,+
-,-,-
+,+,-
-,+,+
+,-,+
+,-,+
+,-,+
+,-,+
-,-,-
+,+,-
-,-,-
+,-,+
+,+,-
+,+,-
+,+,-
+,-,+
+,+,-
-,+,+
+,-,+
-,-,-
+,-,+
+,-,+
-,-,-
+,+,-
+,-,+
-,+,+
+,-,+
+,-,+
+,+,-
+,-,+
-,-,-
+,-,+
+,+,-
-,+,+
+,-,+
-,+,+
+,-,+
+,-,+
-,+,+
-,-,-
-,+,+
+,-,+
+,+,-
-,-,-
-,+,+
-,+,+
+,+,-
-,+,+
-,-,-
+,-,+
-,+,+
+,-,+
+,+,-
+,+,-
-,-,-
+,-,+
-,-,-
+,+,-
+,+,-
-,-,-
-,-,-
+,-,+
-,+,+
-,+,+
+,-,+
-,-,-
+,+,-
-,+,+
-,-,-
+,+,-
-,-,-
+,+,-
+,+,-
-,-,-
-,-,-
+,-,+
+,+,-
-,-,-
-,+,+
-,-,-
-,+,+
+,+,-
-,-,-
-,+,+
-,-,-
-,-,-
-,+,+
-,-,-
+,+,-
+,+,-
+,-,+
-,+,+
+,+,-
+,+,-
+,+,-
+,+,-
-,+,+
-,+,+
-,-,-
-,+,+
-,-,-
-,-,-
+,+,-
+,-,+
-,-,-
+,+,-
+,+,-
+,-,+
-,-,-
+,+,-
+,+,-
+,+,-
-,+,+
+,-,+
-,-,-
+,+,-
-,-,-
+,-,+
+,+,-
-,+,+
+,+,-
-,+,+
-,-,-
-,+,+
-,+,+
+,+,-
-,+,+
-,+,+
+,+,-
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
-,+,+
+,+,-
+,+,-
+,+,-
-,-,-
-,+,+
-,+,+
-,-,-
-,+,+
-,+,+
+,-,+
-,-,-
-,-,-
-,+,+
-,+,+
+,-,+
-,+,+
+,-,+
+,-,+
+,+,-
+,-,+
-,-,-
+,-,+
+,+,-
-,-,-
+,+,-
+,-,+
-,+,+
-,-,-
+,-,+
+,-,+
-,+,+
-,-,-
-,-,-
+,+,-
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
+,+,-
+,+,-
+,-,+
+,+,-
-,+,+
+,-,+
-,+,+
+,-,+
-,-,-
-,+,+
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
-,+,+
-,-,-
+,+,-
-,-,-
+,-,+
-,-,-
-,-,-
+,-,+
+,-,+
-,+,+
-,+,+
-,+,+
-,-,-
+,+,-
+,-,+
-,+,+
-,+,+
-,+,+
-,-,-
+,-,+
-,-,-
+,-,+
-,+,+
+,-,+
+,+,-
-,-,-
+,+,-
-,-,-
+,-,+
-,+,+
+,+,-
-,-,-
+,-,+
+,-,+
-,-,-
-,-,-
-,+,+
+,-,+
+,+,-
+,-,+
+,+,-
+,+,-
-,+,+
+,+,-
-,-,-
+,+,-
-,-,-
+,-,+
+,+,-
+,-,+
-,+,+
-,+,+
+,+,-
+,+,-
+,-,+
-,-,-
+,-,+
-,+,+
+,-,+
+,-,+
+,-,+
-,+,+
-,-,-
-,-,-
-,-,-
+,-,+
-,+,+
+,+,-
+,+,-
-,+,+
-,-,-
+,-,+
-,-,-
-,+,+
-,+,+
-,-,-
+,-,+
+,+,-
-,+,+
+,-,+
+,+,-
-,+,+
-,+,+
-,-,-
+,-,+
-,+,+
+,-,+
-,+,+
-,+,+
-,-,-
-,+,+
-,-,-
-,-,-
+,-,+
+,-,+
-,+,+
+,+,-
-,+,+
-,+,+
+,-,+
+,-,+
-,-,-
+,+,-
-,+,+
+,-,+
+,+,-
+,+,-
-,-,-
+,-,+
-,-,-
+,-,+
+,+,-
+,+,-
-,+,+
-,-,-
+,+,-
-,+,+
+,+,-
+,-,+
+,+,-
+,-,+
+,-,+
-,-,-
+,-,+
+,-,+
-,-,-
+,-,+
+,+,-
-,-,-
+,+,-
+,+,-
-,+,+
+,+,-
